Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00001.494 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=64]
[00001.475 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=128]
[00001.481 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=256]
[00001.498 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=512]
[00001.490 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=1024]
[00001.496 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=32; limit=1]
[00001.490 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=32; limit=2]
[00001.516 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=32; limit=4]
[00001.496 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=32; limit=8]
[00001.489 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=32; limit=16]
[00001.487 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=32]
[00001.509 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=64]
[00001.476 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=128]
[00001.497 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=256]
[00001.484 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=512]
[00001.479 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=32; limit=1024]
[00001.489 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=64; limit=1]
[00001.490 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=64; limit=2]
[00001.502 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=64; limit=4]
[00001.496 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=64; limit=8]
